MsgID.LOCAL_POSITION,10.5070000,-0.0331396,0.2919495,-0.2071014
MsgID.LOCAL_VELOCITY,10.5070000,0.0000137,-0.0000000,0.0000152
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924801,0.2070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924786,0.2230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,10.7580000,-0.2027412,0.1782126,-0.2239878
MsgID.LOCAL_VELOCITY,10.7580000,0.0000142,-0.0000236,0.0000143
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974502,37.7924785,0.2330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.0070000,-0.2165484,0.2692691,-0.2336220
MsgID.LOCAL_VELOCITY,11.0070000,0.0000051,0.0000045,0.0000241
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924794,0.2380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.2590000,-0.1156676,0.4073652,-0.2387880
MsgID.LOCAL_VELOCITY,11.2590000,0.0000299,-0.0000161,0.0000188
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924800,0.2410000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.5090000,-0.0442190,0.1537222,-0.2414778
MsgID.LOCAL_VELOCITY,11.5090000,0.0000175,-0.0000221,0.0000233
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924791,0.2430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,11.7590000,-0.1520793,0.2604832,-0.2430018
MsgID.LOCAL_VELOCITY,11.7590000,-0.0000090,0.0000047,0.0000143
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924797,0.2430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.0080000,-0.0787855,0.2938094,-0.2437551
MsgID.LOCAL_VELOCITY,12.0080000,0.0000096,0.0000049,0.0000117
MsgID.GLOBAL_POSITION,0.0000000,-122.3974507,37.7924799,0.2420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.2590000,-0.0551737,0.2240550,-0.2429377
MsgID.LOCAL_VELOCITY,12.2590000,-0.0000027,0.0000003,0.0000142
MsgID.GLOBAL_POSITION,0.0000000,-122.3974516,37.7924798,0.2380000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,12.5090000,-0.0741020,0.1484834,-0.2385356
MsgID.LOCAL_VELOCITY,12.5090000,-0.0000087,-0.0000162,0.0000162
MsgID.LOCAL_POSITION,12.7590000,-0.1887156,0.1101193,-0.2277580
MsgID.LOCAL_VELOCITY,12.7590000,-0.0000097,0.0000021,0.0000164
MsgID.GLOBAL_POSITION,0.0000000,-122.3974520,37.7924787,0.2270000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924801,0.2070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
